"Sex";"Periods";"Regions";"Population on 1 January (number)"
"Total male and female";"2020";"Berkhout";
"Total male and female";"2021";"Berkhout";
"Total male and female";"2010";"Berlicum";
"Total male and female";"2020";"Berlicum";
"Total male and female";"2021";"Berlicum";
"Total male and female";"2010";"Bernheze";29655
"Total male and female";"2020";"Bernheze";31240
"Total male and female";"2021";"Bernheze";31455
"Total male and female";"2010";"Bernisse";12455
"Total male and female";"2020";"Bernisse";
"Total male and female";"2021";"Bernisse";
"Total male and female";"2010";"Best";28953
"Total male and female";"2020";"Best";29988
"Total male and female";"2021";"Best";30216
"Total male and female";"2010";"Beugen en Rijkevoort";
"Total male and female";"2020";"Beugen en Rijkevoort";
"Total male and female";"2021";"Beugen en Rijkevoort";
"Total male and female";"2010";"Beuningen";25481
"Total male and female";"2020";"Beuningen";25890
"Total male and female";"2021";"Beuningen";26157
"Total male and female";"2010";"Beusichem";
"Total male and female";"2020";"Beusichem";
"Total male and female";"2021";"Beusichem";
"Total male and female";"2010";"Beverwijk";38883
"Total male and female";"2020";"Beverwijk";41626
"Total male and female";"2021";"Beverwijk";41863
"Total male and female";"2010";"Bierum";
"Total male and female";"2020";"Bierum";
"Total male and female";"2021";"Bierum";
"Total male and female";"2010";"Biervliet";
"Total male and female";"2020";"Biervliet";
"Total male and female";"2021";"Biervliet";
"Total male and female";"2010";"Biggekerke";
"Total male and female";"2020";"Biggekerke";
"Total male and female";"2021";"Biggekerke";
"Total male and female";"2010";"het Bildt";10908
"Total male and female";"2020";"het Bildt";
"Total male and female";"2021";"het Bildt";
"Total male and female";"2010";"De Bilt";42017
"Total male and female";"2020";"De Bilt";43137
"Total male and female";"2021";"De Bilt";43384
"Total male and female";"2010";"Bingelrade";
"Total male and female";"2020";"Bingelrade";
"Total male and female";"2021";"Bingelrade";
"Total male and female";"2010";"Binnenmaas";28926
"Total male and female";"2020";"Binnenmaas";
"Total male and female";"2021";"Binnenmaas";
"Total male and female";"2010";"Bladel";19177
"Total male and female";"2020";"Bladel";20390
"Total male and female";"2021";"Bladel";20529
"Total male and female";"2010";"Bladel en Netersel";
"Total male and female";"2020";"Bladel en Netersel";
"Total male and female";"2021";"Bladel en Netersel";
"Total male and female";"2010";"Blankenham";
"Total male and female";"2020";"Blankenham";
"Total male and female";"2021";"Blankenham";
"Total male and female";"2010";"Blaricum";8955
"Total male and female";"2020";"Blaricum";11540
"Total male and female";"2021";"Blaricum";11954
"Total male and female";"2010";"Bleiswijk";
"Total male and female";"2020";"Bleiswijk";
"Total male and female";"2021";"Bleiswijk";
"Total male and female";"2010";"Bleskensgraaf en Hofwege";
"Total male and female";"2020";"Bleskensgraaf en Hofwege";
