"Sex";"Periods";"Regions";"Population on 1 January (number)"
"Total male and female";"2010";"Montferland";35179
"Total male and female";"2020";"Montferland";36011
"Total male and female";"2021";"Montferland";36031
"Total male and female";"2010";"Montfoort";13494
"Total male and female";"2020";"Montfoort";13917
"Total male and female";"2021";"Montfoort";13896
"Total male and female";"2010";"Montfort";
"Total male and female";"2020";"Montfort";
"Total male and female";"2021";"Montfort";
"Total male and female";"2010";"Mook en Middelaar";8049
"Total male and female";"2020";"Mook en Middelaar";7847
"Total male and female";"2021";"Mook en Middelaar";7909
"Total male and female";"2010";"Moordrecht";
"Total male and female";"2020";"Moordrecht";
"Total male and female";"2021";"Moordrecht";
"Total male and female";"2010";"Muiden";6500
"Total male and female";"2020";"Muiden";
"Total male and female";"2021";"Muiden";
"Total male and female";"2010";"Munstergeleen";
"Total male and female";"2020";"Munstergeleen";
"Total male and female";"2021";"Munstergeleen";
"Total male and female";"2010";"Muntendam";
"Total male and female";"2020";"Muntendam";
"Total male and female";"2021";"Muntendam";
"Total male and female";"2010";"Naaldwijk";
"Total male and female";"2020";"Naaldwijk";
"Total male and female";"2021";"Naaldwijk";
"Total male and female";"2010";"Naarden";17152
"Total male and female";"2020";"Naarden";
"Total male and female";"2021";"Naarden";
"Total male and female";"2010";"Neder-Betuwe";22553
"Total male and female";"2020";"Neder-Betuwe";24339
"Total male and female";"2021";"Neder-Betuwe";24648
"Total male and female";"2010";"Nederhemert";
"Total male and female";"2020";"Nederhemert";
"Total male and female";"2021";"Nederhemert";
"Total male and female";"2010";"Nederhorst den Berg";
"Total male and female";"2020";"Nederhorst den Berg";
"Total male and female";"2021";"Nederhorst den Berg";
"Total male and female";"2010";"Nederlek";14087
"Total male and female";"2020";"Nederlek";
"Total male and female";"2021";"Nederlek";
"Total male and female";"2010";"Nederweert";16607
"Total male and female";"2020";"Nederweert";17019
"Total male and female";"2021";"Nederweert";17171
"Total male and female";"2010";"Neede";
"Total male and female";"2020";"Neede";
"Total male and female";"2021";"Neede";
"Total male and female";"2010";"Neer";
"Total male and female";"2020";"Neer";
"Total male and female";"2021";"Neer";
"Total male and female";"2010";"Neerijnen";11880
"Total male and female";"2020";"Neerijnen";
"Total male and female";"2021";"Neerijnen";
"Total male and female";"2010";"Neeritter";
"Total male and female";"2020";"Neeritter";
"Total male and female";"2021";"Neeritter";
"Total male and female";"2010";"Nibbixwoud";
"Total male and female";"2020";"Nibbixwoud";
"Total male and female";"2021";"Nibbixwoud";
"Total male and female";"2010";"Niedorp";12137
"Total male and female";"2020";"Niedorp";
"Total male and female";"2021";"Niedorp";
"Total male and female";"2010";"Nieuw- en Sint Joosland";
"Total male and female";"2020";"Nieuw- en Sint Joosland";
"Total male and female";"2021";"Nieuw- en Sint Joosland";
"Total male and female";"2010";"Nieuw-Beijerland";
"Total male and female";"2020";"Nieuw-Beijerland";
"Total male and female";"2021";"Nieuw-Beijerland";
"Total male and female";"2010";"Nieuwe Pekela";
"Total male and female";"2020";"Nieuwe Pekela";
"Total male and female";"2021";"Nieuwe Pekela";
"Total male and female";"2010";"Nieuwe Tonge";
"Total male and female";"2020";"Nieuwe Tonge";
"Total male and female";"2021";"Nieuwe Tonge";
"Total male and female";"2010";"Nieuwegein";60896
"Total male and female";"2020";"Nieuwegein";63462
"Total male and female";"2021";"Nieuwegein";63866
"Total male and female";"2010";"Nieuwenhagen";
"Total male and female";"2020";"Nieuwenhagen";
"Total male and female";"2021";"Nieuwenhagen";
"Total male and female";"2010";"Nieuwenhoorn";
"Total male and female";"2020";"Nieuwenhoorn";
"Total male and female";"2021";"Nieuwenhoorn";
"Total male and female";"2010";"Nieuwe-Niedorp";
"Total male and female";"2020";"Nieuwe-Niedorp";
"Total male and female";"2021";"Nieuwe-Niedorp";
"Total male and female";"2010";"Nieuwer-Amstel";
"Total male and female";"2020";"Nieuwer-Amstel";
"Total male and female";"2021";"Nieuwer-Amstel";
"Total male and female";"2010";"Nieuwerkerk";
"Total male and female";"2020";"Nieuwerkerk";
"Total male and female";"2021";"Nieuwerkerk";
"Total male and female";"2010";"Nieuwerkerk aan den IJssel";
"Total male and female";"2020";"Nieuwerkerk aan den IJssel";
"Total male and female";"2021";"Nieuwerkerk aan den IJssel";
"Total male and female";"2010";"Nieuweschans";
"Total male and female";"2020";"Nieuweschans";
"Total male and female";"2021";"Nieuweschans";
"Total male and female";"2010";"Nieuw-Ginneken";
"Total male and female";"2020";"Nieuw-Ginneken";
"Total male and female";"2021";"Nieuw-Ginneken";
"Total male and female";"2010";"Nieuw-Helvoet";
"Total male and female";"2020";"Nieuw-Helvoet";
"Total male and female";"2021";"Nieuw-Helvoet";
"Total male and female";"2010";"Nieuwkoop";26929
"Total male and female";"2020";"Nieuwkoop";28811
"Total male and female";"2021";"Nieuwkoop";29151
"Total male and female";"2010";"Nieuwland";
"Total male and female";"2020";"Nieuwland";
"Total male and female";"2021";"Nieuwland";
"Total male and female";"2010";"Nieuw-Lekkerland";9530
"Total male and female";"2020";"Nieuw-Lekkerland";
"Total male and female";"2021";"Nieuw-Lekkerland";
"Total male and female";"2010";"Nieuwleusen";
"Total male and female";"2020";"Nieuwleusen";
"Total male and female";"2021";"Nieuwleusen";
"Total male and female";"2010";"Nieuwolda";
"Total male and female";"2020";"Nieuwolda";
"Total male and female";"2021";"Nieuwolda";
"Total male and female";"2010";"Nieuwpoort";
"Total male and female";"2020";"Nieuwpoort";
"Total male and female";"2021";"Nieuwpoort";
"Total male and female";"2010";"Nieuwstadt";
"Total male and female";"2020";"Nieuwstadt";
"Total male and female";"2021";"Nieuwstadt";
"Total male and female";"2010";"Nieuwveen";
"Total male and female";"2020";"Nieuwveen";
"Total male and female";"2021";"Nieuwveen";
"Total male and female";"2010";"Nieuwvliet";
"Total male and female";"2020";"Nieuwvliet";
"Total male and female";"2021";"Nieuwvliet";
"Total male and female";"2010";"Nieuw-Vossemeer";
"Total male and female";"2020";"Nieuw-Vossemeer";
"Total male and female";"2021";"Nieuw-Vossemeer";
"Total male and female";"2010";"Nigtevecht";
"Total male and female";"2020";"Nigtevecht";
"Total male and female";"2021";"Nigtevecht";
"Total male and female";"2010";"Nijefurd";10947
"Total male and female";"2020";"Nijefurd";
"Total male and female";"2021";"Nijefurd";
"Total male and female";"2010";"Nijeveen";
"Total male and female";"2020";"Nijeveen";
"Total male and female";"2021";"Nijeveen";
"Total male and female";"2010";"Nijkerk";39538
"Total male and female";"2020";"Nijkerk";43171
"Total male and female";"2021";"Nijkerk";43600
"Total male and female";"2010";"Nijmegen";162963
"Total male and female";"2020";"Nijmegen";177659
"Total male and female";"2021";"Nijmegen";177359
"Total male and female";"2010";"Nisse";
"Total male and female";"2020";"Nisse";
"Total male and female";"2021";"Nisse";
"Total male and female";"2010";"Nissewaard";
"Total male and female";"2020";"Nissewaard";85219
"Total male and female";"2021";"Nissewaard";85440
"Total male and female";"2010";"Nistelrode";
"Total male and female";"2020";"Nistelrode";
"Total male and female";"2021";"Nistelrode";
"Total male and female";"2010";"Noardeast-Fryslân";
"Total male and female";"2020";"Noardeast-Fryslân";45228
"Total male and female";"2021";"Noardeast-Fryslân";45481
"Total male and female";"2010";"Noorbeek";
"Total male and female";"2020";"Noorbeek";
"Total male and female";"2021";"Noorbeek";
"Total male and female";"2010";"Noord-Beveland";7397
"Total male and female";"2020";"Noord-Beveland";7392
"Total male and female";"2021";"Noord-Beveland";7581
"Total male and female";"2010";"Noordbroek";
"Total male and female";"2020";"Noordbroek";
"Total male and female";"2021";"Noordbroek";
"Total male and female";"2010";"Noorddijk";
"Total male and female";"2020";"Noorddijk";
"Total male and female";"2021";"Noorddijk";
"Total male and female";"2010";"Noordeloos";
"Total male and female";"2020";"Noordeloos";
"Total male and female";"2021";"Noordeloos";
"Total male and female";"2010";"Noordenveld";30808
"Total male and female";"2020";"Noordenveld";31253
"Total male and female";"2021";"Noordenveld";31214
"Total male and female";"2010";"Noorder-Koggenland";
"Total male and female";"2020";"Noorder-Koggenland";
"Total male and female";"2021";"Noorder-Koggenland";
"Total male and female";"2010";"Noordgouwe";
"Total male and female";"2020";"Noordgouwe";
"Total male and female";"2021";"Noordgouwe";
"Total male and female";"2010";"De Noordoostelijke Polder";
"Total male and female";"2020";"De Noordoostelijke Polder";
"Total male and female";"2021";"De Noordoostelijke Polder";
"Total male and female";"2010";"Noordoostpolder";46090
"Total male and female";"2020";"Noordoostpolder";47291
"Total male and female";"2021";"Noordoostpolder";47583
"Total male and female";"2010";"Noordwelle";
"Total male and female";"2020";"Noordwelle";
"Total male and female";"2021";"Noordwelle";
"Total male and female";"2010";"Noordwijk";25407
"Total male and female";"2020";"Noordwijk";43508
"Total male and female";"2021";"Noordwijk";44062
"Total male and female";"2010";"Noordwijkerhout";15555
"Total male and female";"2020";"Noordwijkerhout";
"Total male and female";"2021";"Noordwijkerhout";
"Total male and female";"2010";"Nootdorp";
"Total male and female";"2020";"Nootdorp";
"Total male and female";"2021";"Nootdorp";
"Total male and female";"2010";"Norg";
"Total male and female";"2020";"Norg";
"Total male and female";"2021";"Norg";
"Total male and female";"2010";"Nuenen, Gerwen en Nederwetten";22213
"Total male and female";"2020";"Nuenen, Gerwen en Nederwetten";23383
"Total male and female";"2021";"Nuenen, Gerwen en Nederwetten";23702
"Total male and female";"2010";"Nuland";
"Total male and female";"2020";"Nuland";
"Total male and female";"2021";"Nuland";
"Total male and female";"2010";"Numansdorp";
"Total male and female";"2020";"Numansdorp";
"Total male and female";"2021";"Numansdorp";
"Total male and female";"2010";"Nunhem";
"Total male and female";"2020";"Nunhem";
"Total male and female";"2021";"Nunhem";
"Total male and female";"2010";"Nunspeet";26728
"Total male and female";"2020";"Nunspeet";27851
"Total male and female";"2021";"Nunspeet";28021
"Total male and female";"2010";"Nuth";15667
"Total male and female";"2020";"Nuth";
"Total male and female";"2021";"Nuth";
"Total male and female";"2010";"Obbicht en Papenhoven";
"Total male and female";"2020";"Obbicht en Papenhoven";
"Total male and female";"2021";"Obbicht en Papenhoven";
"Total male and female";"2010";"Obdam";
"Total male and female";"2020";"Obdam";
"Total male and female";"2021";"Obdam";
"Total male and female";"2010";"Odijk";
"Total male and female";"2020";"Odijk";
"Total male and female";"2021";"Odijk";
"Total male and female";"2010";"Odoorn";
"Total male and female";"2020";"Odoorn";
"Total male and female";"2021";"Odoorn";
"Total male and female";"2010";"Oeffelt";
"Total male and female";"2020";"Oeffelt";
"Total male and female";"2021";"Oeffelt";
"Total male and female";"2010";"Oegstgeest";22597
"Total male and female";"2020";"Oegstgeest";24840
"Total male and female";"2021";"Oegstgeest";25064
"Total male and female";"2010";"Ohé en Laak";
"Total male and female";"2020";"Ohé en Laak";
"Total male and female";"2021";"Ohé en Laak";
"Total male and female";"2010";"Oirsbeek";
"Total male and female";"2020";"Oirsbeek";
"Total male and female";"2021";"Oirsbeek";
"Total male and female";"2010";"Oirschot";17750
"Total male and female";"2020";"Oirschot";18714
"Total male and female";"2021";"Oirschot";18842
"Total male and female";"2010";"Oisterwijk";25827
"Total male and female";"2020";"Oisterwijk";26245
"Total male and female";"2021";"Oisterwijk";32373
"Total male and female";"2010";"Oldambt";39486
"Total male and female";"2020";"Oldambt";38209
"Total male and female";"2021";"Oldambt";38277
"Total male and female";"2010";"Oldebroek";22750
"Total male and female";"2020";"Oldebroek";23646
"Total male and female";"2021";"Oldebroek";23760
"Total male and female";"2010";"Oldehove";
"Total male and female";"2020";"Oldehove";
"Total male and female";"2021";"Oldehove";
"Total male and female";"2010";"Oldekerk";
"Total male and female";"2020";"Oldekerk";
"Total male and female";"2021";"Oldekerk";
"Total male and female";"2010";"Oldemarkt";
"Total male and female";"2020";"Oldemarkt";
"Total male and female";"2021";"Oldemarkt";
"Total male and female";"2010";"Oldenzaal";31974
"Total male and female";"2020";"Oldenzaal";31836
"Total male and female";"2021";"Oldenzaal";31701
"Total male and female";"2010";"Olst";
"Total male and female";"2020";"Olst";
"Total male and female";"2021";"Olst";
"Total male and female";"2010";"Olst-Wijhe";17540
"Total male and female";"2020";"Olst-Wijhe";18252
"Total male and female";"2021";"Olst-Wijhe";18361
"Total male and female";"2010";"Ommen";17404
"Total male and female";"2020";"Ommen";18009
"Total male and female";"2021";"Ommen";18295
"Total male and female";"2010";"Onderbanken";8109
"Total male and female";"2020";"Onderbanken";
"Total male and female";"2021";"Onderbanken";
"Total male and female";"2010";"Onstwedde";
"Total male and female";"2020";"Onstwedde";
"Total male and female";"2021";"Onstwedde";
"Total male and female";"2010";"Ooltgensplaat";
"Total male and female";"2020";"Ooltgensplaat";
"Total male and female";"2021";"Ooltgensplaat";
"Total male and female";"2010";"Oost Gelre";30026
"Total male and female";"2020";"Oost Gelre";29627
"Total male and female";"2021";"Oost Gelre";29574
"Total male and female";"2010";"Oost- en West-Souburg";
"Total male and female";"2020";"Oost- en West-Souburg";
"Total male and female";"2021";"Oost- en West-Souburg";
"Total male and female";"2010";"Oost-, West- en Middelbeers";
"Total male and female";"2020";"Oost-, West- en Middelbeers";
"Total male and female";"2021";"Oost-, West- en Middelbeers";
"Total male and female";"2010";"Oostburg";
"Total male and female";"2020";"Oostburg";
"Total male and female";"2021";"Oostburg";
"Total male and female";"2010";"Oostdongeradeel";
"Total male and female";"2020";"Oostdongeradeel";
"Total male and female";"2021";"Oostdongeradeel";
"Total male and female";"2010";"Oosterbroek";
"Total male and female";"2020";"Oosterbroek";
"Total male and female";"2021";"Oosterbroek";
"Total male and female";"2010";"Oosterhesselen";
"Total male and female";"2020";"Oosterhesselen";
"Total male and female";"2021";"Oosterhesselen";
"Total male and female";"2010";"Oosterhout";54136
"Total male and female";"2020";"Oosterhout";55982
"Total male and female";"2021";"Oosterhout";56206
"Total male and female";"2010";"Oosterland";
"Total male and female";"2020";"Oosterland";
"Total male and female";"2021";"Oosterland";
"Total male and female";"2010";"Oostflakkee";10365
"Total male and female";"2020";"Oostflakkee";
"Total male and female";"2021";"Oostflakkee";
"Total male and female";"2010";"Oosthuizen";
"Total male and female";"2020";"Oosthuizen";
"Total male and female";"2021";"Oosthuizen";
"Total male and female";"2010";"Oostkapelle";
"Total male and female";"2020";"Oostkapelle";
"Total male and female";"2021";"Oostkapelle";
"Total male and female";"2010";"Ooststellingwerf";26235
"Total male and female";"2020";"Ooststellingwerf";25469
"Total male and female";"2021";"Ooststellingwerf";25464
"Total male and female";"2010";"Oostvoorne";
"Total male and female";"2020";"Oostvoorne";
"Total male and female";"2021";"Oostvoorne";
"Total male and female";"2010";"Oostzaan";9149
"Total male and female";"2020";"Oostzaan";9735
"Total male and female";"2021";"Oostzaan";9689
"Total male and female";"2010";"Ootmarsum";
"Total male and female";"2020";"Ootmarsum";
"Total male and female";"2021";"Ootmarsum";
"Total male and female";"2010";"Openbaar Lichaam Z.IJ.P.";
"Total male and female";"2020";"Openbaar Lichaam Z.IJ.P.";
"Total male and female";"2021";"Openbaar Lichaam Z.IJ.P.";
"Total male and female";"2010";"Ophemert";
"Total male and female";"2020";"Ophemert";
"Total male and female";"2021";"Ophemert";
"Total male and female";"2010";"Oploo, Sint Anthonis en Ledeacker";
"Total male and female";"2020";"Oploo, Sint Anthonis en Ledeacker";
"Total male and female";"2021";"Oploo, Sint Anthonis en Ledeacker";
"Total male and female";"2010";"Opmeer";11386
"Total male and female";"2020";"Opmeer";11836
"Total male and female";"2021";"Opmeer";12009
"Total male and female";"2010";"Opperdoes";
"Total male and female";"2020";"Opperdoes";
"Total male and female";"2021";"Opperdoes";
"Total male and female";"2010";"Opsterland";30039
"Total male and female";"2020";"Opsterland";29733
"Total male and female";"2021";"Opsterland";29812
"Total male and female";"2010";"Oss";77392
"Total male and female";"2020";"Oss";91915
"Total male and female";"2021";"Oss";92526
"Total male and female";"2010";"Ossendrecht";
"Total male and female";"2020";"Ossendrecht";
"Total male and female";"2021";"Ossendrecht";
"Total male and female";"2010";"Oterleek";
"Total male and female";"2020";"Oterleek";
"Total male and female";"2021";"Oterleek";
"Total male and female";"2010";"Ottersum";
"Total male and female";"2020";"Ottersum";
"Total male and female";"2021";"Ottersum";
"Total male and female";"2010";"Ottoland";
"Total male and female";"2020";"Ottoland";
"Total male and female";"2021";"Ottoland";
"Total male and female";"2010";"Oud en Nieuw Gastel";
"Total male and female";"2020";"Oud en Nieuw Gastel";
"Total male and female";"2021";"Oud en Nieuw Gastel";
"Total male and female";"2010";"Oud-Alblas";
"Total male and female";"2020";"Oud-Alblas";
"Total male and female";"2021";"Oud-Alblas";
"Total male and female";"2010";"Oud-Beijerland";23555
"Total male and female";"2020";"Oud-Beijerland";
"Total male and female";"2021";"Oud-Beijerland";
"Total male and female";"2010";"Ouddorp";
"Total male and female";"2020";"Ouddorp";
"Total male and female";"2021";"Ouddorp";
"Total male and female";"2010";"Oude IJsselstreek";39897
"Total male and female";"2020";"Oude IJsselstreek";39388
"Total male and female";"2021";"Oude IJsselstreek";39346
"Total male and female";"2010";"Oude Pekela";
"Total male and female";"2020";"Oude Pekela";
"Total male and female";"2021";"Oude Pekela";
"Total male and female";"2010";"Oudelande";
"Total male and female";"2020";"Oudelande";
"Total male and female";"2021";"Oudelande";
"Total male and female";"2010";"Oudenbosch";
"Total male and female";"2020";"Oudenbosch";
"Total male and female";"2021";"Oudenbosch";
"Total male and female";"2010";"Oudendijk";
"Total male and female";"2020";"Oudendijk";
"Total male and female";"2021";"Oudendijk";
"Total male and female";"2010";"Oudenhoorn";
"Total male and female";"2020";"Oudenhoorn";
"Total male and female";"2021";"Oudenhoorn";
"Total male and female";"2010";"Oude-Niedorp";
"Total male and female";"2020";"Oude-Niedorp";
"Total male and female";"2021";"Oude-Niedorp";
"Total male and female";"2010";"Oudenrijn";
"Total male and female";"2020";"Oudenrijn";
"Total male and female";"2021";"Oudenrijn";
"Total male and female";"2010";"Ouder-Amstel";13099
"Total male and female";"2020";"Ouder-Amstel";14026
"Total male and female";"2021";"Ouder-Amstel";14125
"Total male and female";"2010";"Ouderkerk";8151
"Total male and female";"2020";"Ouderkerk";
"Total male and female";"2021";"Ouderkerk";
"Total male and female";"2010";"Ouderkerk aan den IJssel";
"Total male and female";"2020";"Ouderkerk aan den IJssel";
"Total male and female";"2021";"Ouderkerk aan den IJssel";
"Total male and female";"2010";"Oude-Tonge";
"Total male and female";"2020";"Oude-Tonge";
"Total male and female";"2021";"Oude-Tonge";
"Total male and female";"2010";"Oudewater";9843
"Total male and female";"2020";"Oudewater";10230
"Total male and female";"2021";"Oudewater";10138
"Total male and female";"2010";"Oudorp";
"Total male and female";"2020";"Oudorp";
"Total male and female";"2021";"Oudorp";
"Total male and female";"2010";"Oud-Vossemeer";
"Total male and female";"2020";"Oud-Vossemeer";
"Total male and female";"2021";"Oud-Vossemeer";
"Total male and female";"2010";"Ouwerkerk";
"Total male and female";"2020";"Ouwerkerk";
"Total male and female";"2021";"Ouwerkerk";
"Total male and female";"2010";"Overasselt";
"Total male and female";"2020";"Overasselt";
"Total male and female";"2021";"Overasselt";
"Total male and female";"2010";"Overbetuwe";45577
"Total male and female";"2020";"Overbetuwe";47906
"Total male and female";"2021";"Overbetuwe";48214
"Total male and female";"2010";"Overslag";
"Total male and female";"2020";"Overslag";
"Total male and female";"2021";"Overslag";
"Total male and female";"2010";"Ovezande";
"Total male and female";"2020";"Ovezande";
"Total male and female";"2021";"Ovezande";
"Total male and female";"2010";"Pannerden";
"Total male and female";"2020";"Pannerden";
"Total male and female";"2021";"Pannerden";
"Total male and female";"2010";"Papekop";
"Total male and female";"2020";"Papekop";
"Total male and female";"2021";"Papekop";
"Total male and female";"2010";"Papendrecht";31853
"Total male and female";"2020";"Papendrecht";32136
"Total male and female";"2021";"Papendrecht";32171
"Total male and female";"2010";"Peel en Maas";43058
"Total male and female";"2020";"Peel en Maas";43425
"Total male and female";"2021";"Peel en Maas";43660
"Total male and female";"2010";"Peize";
"Total male and female";"2020";"Peize";
"Total male and female";"2021";"Peize";
"Total male and female";"2010";"Pekela";13054
"Total male and female";"2020";"Pekela";12196
"Total male and female";"2021";"Pekela";12176
"Total male and female";"2010";"Peursum";
"Total male and female";"2020";"Peursum";
"Total male and female";"2021";"Peursum";
"Total male and female";"2010";"Philippine";
"Total male and female";"2020";"Philippine";
"Total male and female";"2021";"Philippine";
"Total male and female";"2010";"Piershil";
"Total male and female";"2020";"Piershil";
"Total male and female";"2021";"Piershil";
"Total male and female";"2010";"Pijnacker";
"Total male and female";"2020";"Pijnacker";
"Total male and female";"2021";"Pijnacker";
"Total male and female";"2010";"Pijnacker-Nootdorp";48013
"Total male and female";"2020";"Pijnacker-Nootdorp";55308
"Total male and female";"2021";"Pijnacker-Nootdorp";55674
"Total male and female";"2010";"Poederoijen";
"Total male and female";"2020";"Poederoijen";
"Total male and female";"2021";"Poederoijen";
"Total male and female";"2010";"Polsbroek";
"Total male and female";"2020";"Polsbroek";
"Total male and female";"2021";"Polsbroek";
"Total male and female";"2010";"Poortugaal";
"Total male and female";"2020";"Poortugaal";
"Total male and female";"2021";"Poortugaal";
"Total male and female";"2010";"Poortvliet";
"Total male and female";"2020";"Poortvliet";
"Total male and female";"2021";"Poortvliet";
"Total male and female";"2010";"Posterholt";
"Total male and female";"2020";"Posterholt";
"Total male and female";"2021";"Posterholt";
"Total male and female";"2010";"Prinsenbeek";
"Total male and female";"2020";"Prinsenbeek";
"Total male and female";"2021";"Prinsenbeek";
"Total male and female";"2010";"Purmerend";79038
"Total male and female";"2020";"Purmerend";81249
"Total male and female";"2021";"Purmerend";81683
"Total male and female";"2010";"Putte";
"Total male and female";"2020";"Putte";
"Total male and female";"2021";"Putte";
"Total male and female";"2010";"Putten";23592
"Total male and female";"2020";"Putten";24112
"Total male and female";"2021";"Putten";24365
"Total male and female";"2010";"Puttershoek";
"Total male and female";"2020";"Puttershoek";
"Total male and female";"2021";"Puttershoek";
"Total male and female";"2010";"Raalte";36796
"Total male and female";"2020";"Raalte";37712
"Total male and female";"2021";"Raalte";37911
"Total male and female";"2010";"Raamsdonk";
"Total male and female";"2020";"Raamsdonk";
"Total male and female";"2021";"Raamsdonk";
"Total male and female";"2010";"Rauwerderhem";
"Total male and female";"2020";"Rauwerderhem";
"Total male and female";"2021";"Rauwerderhem";
"Total male and female";"2010";"Ravenstein";
"Total male and female";"2020";"Ravenstein";
"Total male and female";"2021";"Ravenstein";
"Total male and female";"2010";"Reek";
"Total male and female";"2020";"Reek";
"Total male and female";"2021";"Reek";
"Total male and female";"2010";"Reeuwijk";13060
"Total male and female";"2020";"Reeuwijk";
"Total male and female";"2021";"Reeuwijk";
"Total male and female";"2010";"Reiderland";
"Total male and female";"2020";"Reiderland";
"Total male and female";"2021";"Reiderland";
"Total male and female";"2010";"Reimerswaal";21476
"Total male and female";"2020";"Reimerswaal";22730
"Total male and female";"2021";"Reimerswaal";22896
"Total male and female";"2010";"Renesse";
"Total male and female";"2020";"Renesse";
"Total male and female";"2021";"Renesse";
"Total male and female";"2010";"Renkum";31656
"Total male and female";"2020";"Renkum";31419
"Total male and female";"2021";"Renkum";31417
"Total male and female";"2010";"Renswoude";4602
"Total male and female";"2020";"Renswoude";5444
"Total male and female";"2021";"Renswoude";5556
"Total male and female";"2010";"Retranchement";
"Total male and female";"2020";"Retranchement";
"Total male and female";"2021";"Retranchement";
"Total male and female";"2010";"Reusel";
"Total male and female";"2020";"Reusel";
"Total male and female";"2021";"Reusel";
"Total male and female";"2010";"Reusel-De Mierden";12555
"Total male and female";"2020";"Reusel-De Mierden";13112
"Total male and female";"2021";"Reusel-De Mierden";13127
"Total male and female";"2010";"Rheden";43724
"Total male and female";"2020";"Rheden";43761
"Total male and female";"2021";"Rheden";43525
"Total male and female";"2010";"Rhenen";18860
"Total male and female";"2020";"Rhenen";20119
"Total male and female";"2021";"Rhenen";20203
"Total male and female";"2010";"Rhoon";
"Total male and female";"2020";"Rhoon";
"Total male and female";"2021";"Rhoon";
"Total male and female";"2010";"Ridderkerk";44746
"Total male and female";"2020";"Ridderkerk";46189
"Total male and female";"2021";"Ridderkerk";46671
"Total male and female";"2010";"Riethoven";
"Total male and female";"2020";"Riethoven";
"Total male and female";"2021";"Riethoven";
"Total male and female";"2010";"Rietveld";
"Total male and female";"2020";"Rietveld";
"Total male and female";"2021";"Rietveld";
"Total male and female";"2010";"Rijckholt";
"Total male and female";"2020";"Rijckholt";
"Total male and female";"2021";"Rijckholt";
"Total male and female";"2010";"Rijneveld";
"Total male and female";"2020";"Rijneveld";
"Total male and female";"2021";"Rijneveld";
"Total male and female";"2010";"Rijnsaterwoude";
"Total male and female";"2020";"Rijnsaterwoude";
"Total male and female";"2021";"Rijnsaterwoude";
"Total male and female";"2010";"Rijnsburg";
"Total male and female";"2020";"Rijnsburg";
"Total male and female";"2021";"Rijnsburg";
"Total male and female";"2010";"Rijnwaarden";11080
"Total male and female";"2020";"Rijnwaarden";
"Total male and female";"2021";"Rijnwaarden";
"Total male and female";"2010";"Rijnwoude";18547
"Total male and female";"2020";"Rijnwoude";
"Total male and female";"2021";"Rijnwoude";
"Total male and female";"2010";"De Rijp";
"Total male and female";"2020";"De Rijp";
"Total male and female";"2021";"De Rijp";
"Total male and female";"2010";"Rijsbergen";
"Total male and female";"2020";"Rijsbergen";
"Total male and female";"2021";"Rijsbergen";
"Total male and female";"2010";"Rijssen";
"Total male and female";"2020";"Rijssen";
"Total male and female";"2021";"Rijssen";
"Total male and female";"2010";"Rijssen-Holten";37080
"Total male and female";"2020";"Rijssen-Holten";38177
"Total male and female";"2021";"Rijssen-Holten";38204
"Total male and female";"2010";"Rijswijk (NB.)";
"Total male and female";"2020";"Rijswijk (NB.)";
"Total male and female";"2021";"Rijswijk (NB.)";
"Total male and female";"2010";"Rijswijk (ZH.)";46672
"Total male and female";"2020";"Rijswijk (ZH.)";54450
"Total male and female";"2021";"Rijswijk (ZH.)";55220
"Total male and female";"2010";"Rilland-Bath";
"Total male and female";"2020";"Rilland-Bath";
"Total male and female";"2021";"Rilland-Bath";
"Total male and female";"2010";"Ritthem";
"Total male and female";"2020";"Ritthem";
"Total male and female";"2021";"Ritthem";
"Total male and female";"2010";"Rockanje";
"Total male and female";"2020";"Rockanje";
"Total male and female";"2021";"Rockanje";
"Total male and female";"2010";"Roden";
"Total male and female";"2020";"Roden";
"Total male and female";"2021";"Roden";
"Total male and female";"2010";"Roerdalen";21307
"Total male and female";"2020";"Roerdalen";20574
"Total male and female";"2021";"Roerdalen";20580
"Total male and female";"2010";"Roermond";55212
"Total male and female";"2020";"Roermond";58260
"Total male and female";"2021";"Roermond";58763
"Total male and female";"2010";"Roggel";
"Total male and female";"2020";"Roggel";
"Total male and female";"2021";"Roggel";
"Total male and female";"2010";"Roggel en Neer";
"Total male and female";"2020";"Roggel en Neer";
"Total male and female";"2021";"Roggel en Neer";
"Total male and female";"2010";"Rolde";
"Total male and female";"2020";"Rolde";
"Total male and female";"2021";"Rolde";
"Total male and female";"2010";"De Ronde Venen";34400
"Total male and female";"2020";"De Ronde Venen";44456
"Total male and female";"2021";"De Ronde Venen";44720
"Total male and female";"2010";"Roosendaal";77566
"Total male and female";"2020";"Roosendaal";77251
"Total male and female";"2021";"Roosendaal";77200
"Total male and female";"2010";"Roosendaal en Nispen";
"Total male and female";"2020";"Roosendaal en Nispen";
"Total male and female";"2021";"Roosendaal en Nispen";
"Total male and female";"2010";"Roosteren";
"Total male and female";"2020";"Roosteren";
"Total male and female";"2021";"Roosteren";
"Total male and female";"2010";"Rosmalen";
"Total male and female";"2020";"Rosmalen";
"Total male and female";"2021";"Rosmalen";
"Total male and female";"2010";"Rossum";
"Total male and female";"2020";"Rossum";
"Total male and female";"2021";"Rossum";
"Total male and female";"2010";"Rotterdam";593049
"Total male and female";"2020";"Rotterdam";651157
"Total male and female";"2021";"Rotterdam";651631
