id;weight;micro;micro_num;ripeness;ripeness_num;cleaning;cleaning_num;temp;temp_cat;fresh;fresh_num;fat;fat_cat;price100g;price_cat;finalscore;top10;outsidetop10;A_d;k30;yr2017;our_unique_id
64;75;Very good;1;Average;2;Very good;1;2.2;1;Freshly prepared;1;14.1;3;3.06;2;17.0;1;0;0;1;0;16_004_17_023
65;74;Alarm signal;4;Average;2;Good;2;7.3;2;Not freshly prepared;0;10.8;2;3.04;2;13.5;0;1;0;1;1;17_082
66;57;Good;1;Rotten;4;Bad;4;12.5;3;Not freshly prepared;0;9.4;1;3.07;2;7.5;0;1;0;0;1;17_145
67;62;Very good;1;Average;2;Good;2;6.4;1;Freshly prepared;1;9.3;1;4.35;3;14.0;0;1;0;1;1;17_080
68;60;Very good;1;Average;2;Poor;3;9.1;2;Not freshly prepared;0;9.9;1;3.33;2;10.5;0;1;0;0;1;17_119
69;57;Very good;1;Strong;3;Very good;1;4.7;1;Not freshly prepared;0;8.6;1;3.94;3;12.0;0;1;0;0;0;16_100
70;65;Very good;1;Average;2;Very good;1;0.7;1;Freshly prepared;1;13.0;2;3.46;2;16.5;0;1;0;1;0;16_016
71;81;Very good;1;Average;2;Poor;3;8.5;2;Freshly prepared;1;11.3;2;2.77;1;14.0;0;1;0;0;1;17_076
72;78;Very good;1;Strong;3;Good;2;6.3;1;Not freshly prepared;0;9.7;1;3.14;2;11.5;0;1;0;1;1;17_107
73;77;Very good;1;Rotten;4;Good;2;11.1;3;Not freshly prepared;0;16.9;3;2.27;1;7.5;0;1;0;1;0;16_142
74;73;Very good;1;Strong;3;Poor;3;6.5;1;Not freshly prepared;0;11.6;2;3.15;2;11.5;0;1;0;1;1;17_108
75;75;Passed;2;Strong;3;Good;2;11.6;3;Freshly prepared;1;13.2;2;3.0;2;14.0;0;1;0;1;0;16_073
76;58;Good;1;Strong;3;Good;2;6.3;1;Not freshly prepared;0;12.5;2;3.44;2;13.5;0;1;0;1;1;17_085
77;71;Very good;1;Average;2;Good;2;8.9;2;Not freshly prepared;0;12.2;2;2.46;1;15.5;0;1;0;0;1;17_037
78;54;Very good;1;Average;2;Good;2;5.5;1;Freshly prepared;1;14.4;3;3.61;3;15.0;0;1;0;1;1;17_055
79;80;Very good;1;Average;2;Very good;1;3.2;1;Freshly prepared;1;16.4;3;2.81;1;15.0;0;1;0;1;0;16_055_17_015
80;77;Very good;1;Strong;3;Very good;1;5.3;1;Freshly prepared;1;12.6;2;3.05;2;14.5;0;1;0;1;1;17_067
81;66;Very good;1;Average;2;Good;2;4.7;1;Freshly prepared;1;11.7;2;2.95;2;14.5;0;1;0;1;1;17_066
